,Date,Constant,Mkt
"56-1",1926-09-08,0.036192279014847471,0.60216594465559281
"57-1",1926-09-09,0.036185335093653112,0.60408815367776525
"58-1",1926-09-10,0.036178432500244752,0.60600941153260335
"59-1",1926-09-11,0.036169443896646426,0.60849993016934711
"60-1",1926-09-13,0.03615895476720854,0.61120752535175094
"61-1",1926-09-14,0.036149608465981455,0.61390384806763254
"62-1",1926-09-15,0.03613918808044652,0.61628233877811323
"63-1",1926-09-16,0.036130428791057559,0.61854613809960779
"64-1",1926-09-17,0.036119282491828511,0.62095120531205661
"65-1",1926-09-18,0.036109291059697922,0.62297276832012072
"66-1",1926-09-20,0.036101442670132072,0.62548755689894553
"67-1",1926-09-21,0.03609111184966058,0.62852471026156664
"68-1",1926-09-22,0.036079452411335415,0.63143081330416007
"69-1",1926-09-23,0.036068153274312065,0.6343215161620146
"70-1",1926-09-24,0.036061104305007946,0.63757554475706779
"71-1",1926-09-25,0.036057779427763614,0.64158872553431345
"72-1",1926-09-27,0.036049481342938526,0.64525852818348706
"73-1",1926-09-28,0.036043818399985418,0.648824362280774
"74-1",1926-09-29,0.036038537490511093,0.65239019637806095
"75-1",1926-09-30,0.036034319902443511,0.65585114808929446
"76-1",1926-10-01,0.036029071968402222,0.65921046999838373
"77-1",1926-10-02,0.036026232717728722,0.66314791367385184
"78-1",1926-10-04,0.036023072434374574,0.66709591253778688
"79-1",1926-10-05,0.036019934290448856,0.67103372053346488
"80-1",1926-10-06,0.036017303663470557,0.67478797616552155
"81-1",1926-10-07,0.036017303065117641,0.67805798668132589
"82-1",1926-10-08,0.03601903979994437,0.68088816138632868
"83-1",1926-10-09,0.036020858604492105,0.6837342564085036
"84-1",1926-10-11,0.036022355576455035,0.6866819337193506
"85-1",1926-10-13,0.036024829914431504,0.68940788173794176
"86-1",1926-10-14,0.036027852400378563,0.69225818487006052
"87-1",1926-10-15,0.036022899227248786,0.69256485141669133
"88-1",1926-10-16,0.036019945361666049,0.69166856833547197
"89-1",1926-10-18,0.036018275071988397,0.69046420691591492
"90-1",1926-10-19,0.036020307520048117,0.69011203805843724
"91-1",1926-10-20,0.036022281689234145,0.689780180315824
"92-1",1926-10-21,0.036026307610674269,0.68927967438694338
"93-1",1926-10-22,0.036029598208382786,0.68840926638921085
"94-1",1926-10-23,0.036027172328296747,0.6882906634770809
"95-1",1926-10-25,0.036020800432116674,0.68747146181343388
"96-1",1926-10-26,0.036015989510032473,0.68660093710148928
"97-1",1926-10-27,0.036013041156708663,0.68592637762781472
"98-1",1926-10-28,0.036005661720696483,0.68379492869372216
"99-1",1926-10-29,0.035996812205857869,0.68170214737201851
"100-1",1926-10-30,0.035989818544101222,0.67957275505044834
"101-1",1926-11-01,0.035983101484177653,0.67742062684672033
"102-1",1926-11-03,0.035976782915774198,0.67532876759819249
"103-1",1926-11-04,0.035970157423152987,0.67321672571307467
"104-1",1926-11-05,0.035965791328302341,0.67154297371959115
"105-1",1926-11-06,0.035961668735968413,0.66987482598566683
"106-1",1926-11-08,0.035954823665888945,0.66806345910959941
"107-1",1926-11-09,0.035949921925067782,0.66658434337374017
"108-1",1926-11-10,0.035939536251531817,0.66487083054722729
"109-1",1926-11-11,0.035930284866574805,0.66293355303041612
"110-1",1926-11-12,0.035922730359065333,0.66137007786365898
"111-1",1926-11-13,0.035912363386136979,0.65958467312267954
"112-1",1926-11-15,0.035901335154494618,0.65785144781966431
"113-1",1926-11-16,0.035885000000910279,0.65547262601131107
"114-1",1926-11-17,0.035869875331595691,0.65315350321667376
"115-1",1926-11-18,0.035855463625619831,0.65075233544648114
"116-1",1926-11-19,0.03583907512004348,0.64866314327656782
"117-1",1926-11-20,0.035813684708188312,0.64846817455367967
"118-1",1926-11-22,0.035784851705731868,0.64782045201721916
"119-1",1926-11-23,0.035758827925968635,0.64769920450193952
"120-1",1926-11-24,0.035724955478328276,0.64672637466171001
"121-1",1926-11-26,0.035694553857602979,0.64584483828643446
"122-1",1926-11-27,0.035659222190158539,0.64463911328234647
"123-1",1926-11-29,0.035626105354595025,0.64332415655824138
"124-1",1926-11-30,0.03559752067072685,0.64145785550909018
"125-1",1926-12-01,0.035563873589117424,0.63915879521069563
"126-1",1926-12-02,0.035534420174310112,0.63735611364903577
"127-1",1926-12-03,0.035506032885012168,0.63573220234172134
"128-1",1926-12-04,0.035481450054647742,0.63450856710326953
"129-1",1926-12-06,0.035457265910868965,0.63326264765228246
"130-1",1926-12-07,0.035428108520929098,0.63195132233617646
"131-1",1926-12-08,0.0353988467300453,0.63064137005366572
"132-1",1926-12-09,0.035373453069244817,0.62922967400609831
"133-1",1926-12-10,0.035349633664874328,0.62805089686187099
"134-1",1926-12-11,0.035324491142783854,0.6267198606110449
"135-1",1926-12-13,0.03530042686356924,0.62542073061683545
"136-1",1926-12-14,0.035276659117911502,0.62416254930052273
"137-1",1926-12-15,0.035255410712754474,0.62298720102707628
"138-1",1926-12-16,0.035236082482107071,0.6219191791057509
"139-1",1926-12-17,0.035217850488719886,0.62062408608862496
"140-1",1926-12-18,0.035201314206910854,0.61983634594547576
"141-1",1926-12-20,0.035183882643071554,0.61892497522280276
"142-1",1926-12-21,0.035168394083288139,0.61781556485108879
"143-1",1926-12-22,0.035148842172773698,0.61674623398095729
"144-1",1926-12-23,0.035131277428973103,0.61568997026594385
"145-1",1926-12-24,0.035118244076926292,0.61505087013337578
"146-1",1926-12-27,0.035103894142231661,0.61427757801869731
"147-1",1926-12-28,0.035088589890920188,0.61357331495676415
"148-1",1926-12-29,0.035075920216388168,0.61194219777554049
"149-1",1926-12-30,0.03506478032091162,0.61053238911445662
"150-1",1926-12-31,0.035048991414097112,0.60965757012375132
"151-1",1927-01-03,0.035034010543215144,0.60887042322324603
"152-1",1927-01-04,0.035017694460239536,0.60843008830643142
"153-1",1927-01-05,0.03500258276838384,0.60811251031025881
"154-1",1927-01-06,0.034987366551347023,0.6077901209778146
"155-1",1927-01-07,0.034972061969763289,0.60747267069878974
"156-1",1927-01-08,0.034957151823126469,0.60719412613360912
"157-1",1927-01-10,0.034943214283908501,0.60704029663762249
"158-1",1927-01-11,0.034928216076606712,0.60683764416166919
"159-1",1927-01-12,0.034913165018552163,0.6066398571686743
"160-1",1927-01-13,0.034902431816525796,0.60654144650347608
"161-1",1927-01-14,0.03489350725997143,0.60641924935798752
"162-1",1927-01-15,0.034883578058295936,0.60628053641950475
"163-1",1927-01-17,0.034873370099738066,0.60612990871006711
"164-1",1927-01-18,0.034863804747686439,0.60597082973296434
"165-1",1927-01-19,0.034858251229049057,0.60573260805107509
"166-1",1927-01-20,0.034854651716392904,0.60588628384912724
"167-1",1927-01-21,0.034852555733982576,0.60595592123516062
"168-1",1927-01-22,0.034849387044356847,0.60602908556019774
