,Date,Constant,Mkt
"111-1",1963-12-12,0.024204446375754318,1.0874239623766462
"112-1",1963-12-13,0.024205306708237704,1.0875074879563853
"113-1",1963-12-16,0.024206193140763249,1.0876052222930841
"114-1",1963-12-17,0.024207164093256951,1.0877748508913914
"115-1",1963-12-18,0.024208163648023324,1.0879872996326969
"116-1",1963-12-19,0.024208880781297858,1.0883727161264058
"117-1",1963-12-20,0.024209714345054197,1.0886274025395799
"118-1",1963-12-23,0.024210583904809568,1.0888575938581373
"119-1",1963-12-24,0.024211486434988581,1.0890204765589246
"120-1",1963-12-26,0.02421246730139608,1.0892446627764176
"121-1",1963-12-27,0.024213391945211868,1.089378939901499
"122-1",1963-12-30,0.024214321198703478,1.0895157265153785
"123-1",1963-12-31,0.024215457906477007,1.0897230989221387
"124-1",1964-01-02,0.024216716141950461,1.0901620284810072
"125-1",1964-01-03,0.024217767724353169,1.0901790789429986
"126-1",1964-01-06,0.024218683706754514,1.0901176955592897
"127-1",1964-01-07,0.024219548224736619,1.0900160377081256
"128-1",1964-01-08,0.024220238307619102,1.0898906394169976
"129-1",1964-01-09,0.024220930980151569,1.0897682369401076
"130-1",1964-01-10,0.024221743388824737,1.0897680542171251
"131-1",1964-01-13,0.024222675251893221,1.0897516138722156
"132-1",1964-01-14,0.024223431286959876,1.0897949985586568
"133-1",1964-01-15,0.024224029060538187,1.0897576111405134
"134-1",1964-01-16,0.024224732825974746,1.0898067760281684
"135-1",1964-01-17,0.024225520643892558,1.0898273422724123
"136-1",1964-01-20,0.024226390990145796,1.0898422925053237
"137-1",1964-01-21,0.024227475392567598,1.0897042953953198
"138-1",1964-01-22,0.024228661338926729,1.0896561284593742
"139-1",1964-01-23,0.0242300461297244,1.0899327118379403
"140-1",1964-01-24,0.024231421350349471,1.0902063646122628
"141-1",1964-01-27,0.02423280081554469,1.0904805950682732
"142-1",1964-01-28,0.024234231325931409,1.0907357207277495
"143-1",1964-01-29,0.024235652809128528,1.0909911535350607
"144-1",1964-01-30,0.024237064254794518,1.0912663947604153
"145-1",1964-01-31,0.024238447485748313,1.0915377959920853
"146-1",1964-02-03,0.024239987199887316,1.0920115206488159
